route	trip	stop	timestamp	arrival
S	132100_SI..N	S27N	1522377356	1522377215
S	132100_SI..N	S28N	1522377476	1522377437
S	132100_SI..N	S29N	1522377686	1522377539
S	132700_SI..S	S17S	1522377416	1522377359
S	132700_SI..S	S16S	1522377551	1522377485
S	132700_SI..S	S15S	1522377656	1522377629
S	132700_SI..S	S14S	1522377761	1522377743
S	132700_SI..S	S13S	1522377956	1522377851
S	135100_SI..N	S09N	1522376981	1522377060
S	135100_SI..N	S11N	1522377371	1522377233
S	135100_SI..N	S13N	1522377476	1522377437
S	135100_SI..N	S14N	1522377596	1522377569
S	135100_SI..N	S15N	1522377746	1522377677
S	135100_SI..N	S16N	1522377866	1522377809
S	135100_SI..N	S17N	1522378001	1522377959
S	135100_SI..N	S18N	1522378151	1522378097
S	135100_SI..N	S19N	1522378301	1522378241
S	135100_SI..N	S20N	1522378466	1522378403
S	135100_SI..N	S21N	1522378601	1522378547
S	135100_SI..N	S22N	1522378691	1522378667
S	135100_SI..N	S23N	1522378781	1522378763
S	135100_SI..N	S24N	1522378886	1522378853
S	135100_SI..N	S25N	1522378991	1522378949
S	135100_SI..N	S26N	1522379066	1522379051
S	135100_SI..N	S27N	1522379291	1522379159
S	135100_SI..N	S28N	1522379411	1522379357
S	135600_SI..S	S31S	1522377476	1522377360
S	135600_SI..S	S30S	1522377611	1522377503
S	135600_SI..S	S29S	1522377731	1522377677
S	135600_SI..S	S28S	1522377971	1522377809
S	135600_SI..S	S27S	1522378061	1522378037
S	135600_SI..S	S26S	1522378166	1522378127
S	135600_SI..S	S25S	1522378271	1522378235
S	135600_SI..S	S24S	1522378346	1522378319
S	135600_SI..S	S23S	1522378436	1522378409
S	135600_SI..S	S22S	1522378616	1522378505
S	135600_SI..S	S21S	1522378661	1522378619
S	135600_SI..S	S20S	1522378826	1522378757
S	135600_SI..S	S19S	1522378946	1522378889
S	135600_SI..S	S18S	1522379051	1522379009
S	135600_SI..S	S17S	1522379186	1522379135
S	135600_SI..S	S16S	1522379291	1522379249
S	138100_SI..N	S09N	1522378991	1522378985
S	138100_SI..N	S11N	1522379141	1522379015
S	138100_SI..N	S13N	1522379246	1522379219
S	138100_SI..N	S14N	1522379366	1522379345
